departmentId,sourceDepartment,campus,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage,sourceFile,normalizedTitle,matchedCourseId,matchedCourseTitle,matchedCourseType,matchedCategory,matchedGroup,matchStatus,matchConfidence,curriculumCourseId,curriculumCourseTitle,curriculumMatchStatus,curriculumMatchConfidence
joho_kagaku,情科,世田谷,月,1,前期前,1,,物理学(1),松尾 洋介,saa311104,1BL,対象[26-15],"対開講(月1,木1)",,33,2026世田谷キャンパス前期.pdf,物理学(1),IT-121,物理学(1),elective-required,専門分野,情報工学基盤科目,exact,1.0,IT-121,物理学(1),curriculum-exact-title,1.0
joho_kagaku,情科,世田谷,月,1,前期前,1,国際,物理学(1),砂畑 浩樹,saa311105,1BN,対象[26-15],"対開講(月1,木1)",,33,2026世田谷キャンパス前期.pdf,物理学(1),IT-121,物理学(1),elective-required,専門分野,情報工学基盤科目,exact,1.0,IT-121,物理学(1),curriculum-exact-title,1.0
joho_kagaku,情科,世田谷,月,1,前期前,2,国際,人工知能,中野 秀洋,saa311106,12M,対象[20-15],"対開講(月1,木1) ○",○,33,2026世田谷キャンパス前期.pdf,人工知能,CS-352,人工知能,required,専門分野,専門科目,exact,1.0,CS-352,人工知能,curriculum-exact-title,1.0
joho_kagaku,情科,世田谷,月,1,前期前,3,国際,人工知能,中野 秀洋,saa311106,12M,対象[24-21],"対開講(月1,木1) ○",○,33,2026世田谷キャンパス前期.pdf,人工知能,CS-352,人工知能,required,専門分野,専門科目,exact,1.0,CS-352,人工知能,curriculum-exact-title,1.0
joho_kagaku,情科,世田谷,月,1,前期後,1,国際,化学(1),堀越 篤史,sab311107,31A,対象[26-15],"対開講(月1,木1)",,33,2026世田谷キャンパス前期.pdf,化学(1),IT-125,化学(1),elective-required,専門分野,情報工学基盤科目,exact,1.0,IT-125,化学(1),curriculum-exact-title,1.0
joho_kagaku,情科,世田谷,月,1,前期後,2,国際,ハードウェア記述言語,中野 秀洋,sab311108,12L,対象[25-15],"対開講(月1,木1) ○",○,33,2026世田谷キャンパス前期.pdf,ハードウェア記述言語,CS-231,ハードウェア記述言語,elective,専門分野,専門科目,exact,1.0,CS-231,ハードウェア記述言語,curriculum-exact-title,1.0
joho_kagaku,情科,世田谷,月,2,前期前,1,国際,物理学(1)演習,松尾 洋介,saa311209,1BL,対象[26-15],"対開講(月2,木2)",,33,2026世田谷キャンパス前期.pdf,物理学(1)演習,IT-122,物理学(1)演習,elective,専門分野,情報工学基盤科目,exact,1.0,IT-122,物理学(1)演習,curriculum-exact-title,1.0
joho_kagaku,情科,世田谷,月,2,前期前,2,国際,情報理論,新家 稔央,saa311202,22C,対象[25-15],"対開講(月2,木2)",,33,2026世田谷キャンパス前期.pdf,情報理論,CS-251,情報理論,required,専門分野,専門科目,exact,1.0,CS-251,情報理論,curriculum-exact-title,1.0
joho_kagaku,情科,世田谷,月,2,前期前,2,国際,古典制御理論,大屋 英稔,saa311206,22B,対象[20-15],"対開講(月2,木2)",,33,2026世田谷キャンパス前期.pdf,古典制御理論,CS-254,古典制御理論,elective,専門分野,専門科目,exact,1.0,CS-254,古典制御理論,curriculum-exact-title,1.0
joho_kagaku,情科,世田谷,月,2,前期前,3,国際,古典制御理論,大屋 英稔,saa311206,22B,対象[24-21],"対開講(月2,木2)",,33,2026世田谷キャンパス前期.pdf,古典制御理論,CS-254,古典制御理論,elective,専門分野,専門科目,exact,1.0,CS-254,古典制御理論,curriculum-exact-title,1.0
